,Y
345,0.0
346,0.0
347,0.006624619799999999
348,0.0056120449
349,0.6367714662
350,0.0354072763
351,0.8889132047
352,0.0076230363
353,0.032970355800000004
354,0.0
355,0.0
356,0.0075565163
357,0.0355080209
358,0.0019752005
359,0.0244163248
360,0.0136674831
361,0.0688171096
362,0.0204896298
363,0.0
364,0.046645445099999995
365,0.0
366,0.0
367,0.0
368,0.0
369,0.0
370,0.5371329171
371,0.0828326691
372,0.0
373,0.0345014237
374,0.0
375,0.0
376,0.0
377,0.38123535350000004
378,0.019144372399999998
379,0.0
380,0.0
381,0.1036415909
382,0.0
383,0.0
384,0.0014853482000000001
385,0.0330098511
386,0.0098625667
387,0.0517412874
388,0.0212854311
389,0.117530674
390,0.0
391,0.0
392,0.0374155251
393,0.0
394,0.1038995498
395,0.0103071025
396,0.0
397,0.9108472170999999
398,0.1019219911
399,0.0557177562
400,0.0285426794
401,0.040759138199999996
402,0.45043672479999997
403,0.0121418976
404,0.0
405,0.0923303992
406,0.0107011853
407,0.0
408,0.0
409,0.0035030659000000004
410,0.0
411,0.0020639447
412,0.0298087628
413,0.11793192179999999
414,0.031979814
415,0.3291392722
416,0.1452190425
417,0.06341169440000001
418,0.0
419,0.0162831427
420,0.0199420191
421,0.0
422,0.0011879499
423,0.1235891484
424,0.0634435067
425,0.0
426,0.172024622
427,0.0224987361
428,0.1024714431
429,0.0
430,0.0
431,0.0
432,0.0
433,0.0
434,0.0
435,0.005718365600000001
436,0.0536582529
437,0.0505894963
438,0.0
439,0.0
440,0.0557064404
441,0.0162985096
442,0.0114972021
443,0.0
444,0.0
445,0.024077207200000002
446,0.0171179172
447,0.026146464300000002
448,0.0745822607
449,0.1314247376
450,0.0373095086
451,0.031752201699999996
452,0.03544272
453,0.0274313264
454,0.006743205699999999
455,0.6236604323
456,0.0
457,0.0027696188
458,0.0030002997
459,0.0198912871
460,0.10018752289999999
461,0.0246916922
462,0.0
463,0.2438593566
464,0.0
465,0.0
466,0.053746085199999995
467,0.0
468,0.0
469,0.335281635
470,0.5418076876
471,0.0
472,0.0
473,0.5967493356
474,0.6257813676
475,0.1467698975
476,0.0
477,0.0
