,LoanID,MonthRep,Servicer,CurrInterestRate,CAUPB,LoanAge,MonthsToMaturity,AdMonthsToMaturity,MaturityDate,MSA,CLDS,ModFlag,ZeroBalCode,ZeroBalDate,LastInstallDate,ForeclosureDate,DispositionDate,ForeclosureCosts,PPRC,AssetRecCost,MHEC,ATFHP,NetSaleProceeds,CreditEnhProceeds,RPMWP,OFP,NIBUPB,PFUPB,RMWPF,FPWA,ServicingIndicator,Arrears,Arrears_3m,Arrears_6m,Arrears_9m,Arrears_12m,0
632166,108986698680.0,03/01/2016,,4.625,151542.8,48.0,312.0,312.0,03/2042,14460,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,1.0,1.0,1.0,
477960,106809851893.0,06/01/2016,,5.0,152722.84,65.0,295.0,295.0,01/2041,14260,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,1.0,1.0,
313997,104502406193.0,12/01/2016,,4.125,126511.6,49.0,311.0,295.0,11/2042,29540,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,0.0,
567652,108082450668.0,12/01/2017,,5.151,180439.06,75.0,285.0,257.0,09/2041,33100,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,0.0,
449693,106416595807.0,06/01/2016,,4.25,84170.2,45.0,315.0,315.0,09/2042,00000,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,1.0,1.0,
940767,113262754095.0,09/01/2017,,4.5,103464.27,63.0,297.0,285.0,06/2042,24300,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,0.0,
597275,108538618944.0,12/01/2017,,5.375,60391.2,50.0,310.0,305.0,10/2043,00000,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,0.0,
274462,103972440870.0,06/01/2016,,4.25,121740.69,47.0,313.0,313.0,07/2042,00000,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,3.0,6.0,
154549,102214614141.0,12/01/2016,,3.875,94593.05,66.0,114.0,113.0,06/2026,00000,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,0.0,
364372,105223887287.0,03/01/2016,,3.875,123333.97,47.0,313.0,311.0,04/2042,44140,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,1.0,1.0,1.0,
972375,113744703942.0,12/01/2017,,5.375,169047.45,86.0,274.0,274.0,10/2040,41180,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,0.0,
900329,112683353288.0,03/01/2016,,4.25,148121.88,43.0,317.0,306.0,08/2042,16980,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,1.0,1.0,1.0,
828108,111671665516.0,12/01/2016,,4.0,185038.72,52.0,308.0,285.0,08/2042,17140,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,0.0,
672363,109546727544.0,09/01/2016,,4.25,160191.8,62.0,178.0,0.0,07/2031,24340,1.0,N,1.0,09/2016,,,,,,,,,,,,,,,N,,,1.0,1.0,1.0,1.0,1.0,
