,LoanID,MonthRep,Servicer,CurrInterestRate,CAUPB,LoanAge,MonthsToMaturity,AdMonthsToMaturity,MaturityDate,MSA,CLDS,ModFlag,ZeroBalCode,ZeroBalDate,LastInstallDate,ForeclosureDate,DispositionDate,ForeclosureCosts,PPRC,AssetRecCost,MHEC,ATFHP,NetSaleProceeds,CreditEnhProceeds,RPMWP,OFP,NIBUPB,PFUPB,RMWPF,FPWA,ServicingIndicator,Arrears,Arrears_3m,Arrears_6m,Arrears_9m,Arrears_12m,0
779005,110992679977.0,12/01/2017,,4.125,138198.81,75.0,105.0,92.0,09/2026,37340,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,0.0,
503667,107174224187.0,09/01/2016,,4.25,116842.1,48.0,312.0,312.0,09/2042,19740,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,0.0,
671786,109537176635.0,06/01/2016,,4.625,218817.19,22.0,218.0,218.0,08/2034,00000,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,1.0,1.0,
291845,104210950743.0,03/01/2017,,4.75,160163.67,40.0,320.0,320.0,11/2043,33460,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,0.0,
49843,100735922472.0,12/01/2017,,5.125,169868.11,50.0,310.0,310.0,10/2043,27260,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,0.0,
992611,114021036967.0,09/01/2017,,4.875,74345.72,62.0,298.0,249.0,07/2042,12540,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,0.0,
931946,113135362758.0,06/01/2016,,4.875,182924.03,53.0,307.0,306.0,01/2042,47260,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,0.0,
30175,100466512204.0,12/01/2017,,3.875,207147.23,65.0,295.0,295.0,07/2042,40140,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,0.0,
662508,109408027138.0,12/01/2017,,5.125,220793.62,77.0,283.0,284.0,07/2041,41740,1.0,N,,,,,,,,,,,,,,,,,,,N,1.0,0.0,0.0,0.0,0.0,
697701,109904949201.0,06/01/2017,,4.75,282452.78,75.0,466.0,,04/2056,16980,0.0,Y,,,,,,,,,,,,,,,0.0,,,,N,0.0,0.0,0.0,0.0,0.0,
387516,105539416712.0,06/01/2017,,5.375,235719.12,73.0,287.0,286.0,05/2041,35620,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,0.0,
703954,109990487804.0,12/01/2016,,3.5,205151.55,43.0,137.0,137.0,05/2028,42660,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,0.0,
841716,111859435074.0,12/01/2017,,3.75,147176.34,57.0,303.0,302.0,03/2043,14460,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,0.0,
824328,111614933570.0,09/01/2017,,4.875,331395.16,35.0,325.0,326.0,10/2044,40060,2.0,N,,,,,,,,,,,,,,,,,,,N,1.0,2.0,2.0,2.0,2.0,
457230,106527518341.0,09/01/2016,,4.625,141755.84,47.0,313.0,304.0,10/2042,12060,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,0.0,
306397,104409355695.0,12/01/2017,,5.25,272582.38,76.0,284.0,282.0,08/2041,35620,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,0.0,
619920,108824202558.0,06/01/2016,,4.25,102392.59,43.0,197.0,196.0,11/2032,19820,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,1.0,1.0,
709064,110070689378.0,03/01/2016,,3.375,175778.62,32.0,208.0,208.0,07/2033,19300,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,0.0,
351144,105023496312.0,03/01/2017,,4.875,171180.16,71.0,109.0,109.0,04/2026,15260,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,0.0,
349581,105006650001.0,12/01/2017,"WELLS FARGO BANK, N.A.",3.875,116529.83,54.0,306.0,306.0,06/2043,38060,0.0,N,,,,,,,,,,,,,,,,,,,Y,0.0,0.0,0.0,0.0,0.0,
910191,112831914641.0,09/01/2017,,3.875,253325.22,68.0,292.0,290.0,01/2042,14460,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,0.0,
772531,110891971125.0,12/01/2017,,3.75,147840.92,68.0,172.0,172.0,04/2032,12060,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,0.0,
165742,102366920408.0,03/01/2016,,4.25,301123.34,36.0,324.0,324.0,03/2043,40900,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,1.0,1.0,1.0,
357547,105110519992.0,06/01/2017,,4.0,202182.23,57.0,303.0,302.0,09/2042,19740,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,0.0,
423289,106052170778.0,12/01/2016,,4.375,159641.31,43.0,317.0,317.0,05/2043,19820,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,0.0,
375800,105372906915.0,12/01/2016,,4.0,341445.3,72.0,288.0,288.0,12/2040,35620,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,1.0,1.0,1.0,
700217,109942849081.0,06/01/2016,,3.75,132581.27,39.0,321.0,321.0,03/2043,31080,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,2.0,2.0,
139190,102005502811.0,12/01/2016,,3.99,186155.12,40.0,140.0,138.0,08/2028,37980,0.0,N,,,,,,,,,,,,,,,,,,,Y,0.0,0.0,0.0,0.0,0.0,
427267,106094630159.0,03/01/2016,,4.875,115285.53,67.0,293.0,0.0,08/2040,29620,1.0,N,1.0,03/2016,,,,,,,,,,,,,,,N,,,1.0,1.0,1.0,1.0,1.0,
495344,107064201002.0,06/01/2017,,4.25,177471.9,62.0,298.0,295.0,04/2042,35840,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,0.0,
367171,105254727420.0,06/01/2017,,3.75,196081.44,66.0,114.0,113.0,12/2026,39580,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,0.0,
401220,105746100041.0,03/01/2017,,4.125,255209.66,51.0,309.0,309.0,12/2042,41860,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,0.0,
388321,105553046614.0,03/01/2016,,4.375,164100.67,35.0,325.0,323.0,04/2043,33700,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,0.0,
802237,111322566233.0,12/01/2016,,4.875,182499.86,37.0,323.0,323.0,11/2043,33460,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,1.0,2.0,
565855,108060593704.0,09/01/2016,,3.99,170354.03,46.0,314.0,314.0,11/2042,19820,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,0.0,
671039,109522556851.0,03/01/2016,,3.875,190291.48,33.0,327.0,326.0,06/2043,16980,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,0.0,
773868,110913096296.0,03/01/2017,,3.99,69433.81,50.0,310.0,310.0,01/2043,00000,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,0.0,
475554,106773411221.0,06/01/2016,,4.375,148816.1,68.0,112.0,108.0,10/2025,49340,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,3.0,6.0,
403759,105774731599.0,09/01/2017,,4.125,60559.54,59.0,301.0,301.0,10/2042,19660,0.0,N,,,,,,,,,,,,,,,,,,,Y,0.0,0.0,0.0,0.0,0.0,
329936,104743207552.0,03/01/2016,,2.875,118537.61,38.0,142.0,140.0,01/2028,26420,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,1.0,1.0,1.0,
271431,103932831773.0,06/01/2016,,4.49,153708.42,19.0,341.0,341.0,11/2044,37340,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,0.0,
675001,109573410463.0,12/01/2017,,4.125,190207.39,70.0,290.0,286.0,02/2042,17900,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,0.0,
212752,103035031123.0,06/01/2017,,4.375,102858.2,63.0,297.0,297.0,03/2042,33460,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,0.0,
234711,103351926148.0,03/01/2017,,4.875,196553.34,44.0,316.0,316.0,07/2043,46700,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,0.0,
877138,112337320137.0,06/01/2017,,4.75,149427.7,73.0,107.0,94.0,05/2026,00000,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,0.0,
625206,108895908162.0,06/01/2016,,3.375,295143.06,46.0,134.0,134.0,08/2027,25540,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,0.0,
800651,111293846794.0,12/01/2017,,4.875,188146.3,94.0,266.0,226.0,02/2040,41420,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,0.0,
42630,100643223787.0,12/01/2017,,5.0,221751.06,79.0,281.0,281.0,05/2041,31080,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,0.0,
533667,107621150422.0,03/01/2017,,4.125,57467.46,54.0,306.0,306.0,09/2042,26140,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,0.0,
860851,112118154747.0,12/01/2017,,3.5,186958.12,61.0,179.0,178.0,11/2032,40140,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,0.0,
86279,101293772412.0,09/01/2016,,4.0,115251.48,52.0,308.0,308.0,05/2042,36780,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,1.0,
69815,101027623346.0,06/01/2017,,4.875,164979.44,94.0,266.0,243.0,08/2039,35620,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,0.0,
198917,102868262566.0,03/01/2016,,5.0,199946.7,56.0,304.0,273.0,07/2041,42660,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,0.0,
800888,111299916906.0,03/01/2016,,3.875,101520.25,33.0,327.0,327.0,06/2043,49700,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,1.0,1.0,1.0,
738545,110462718918.0,06/01/2016,,3.99,151891.3,14.0,346.0,343.0,04/2045,16820,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,1.0,1.0,
466931,106651289743.0,12/01/2017,,4.875,258850.31,82.0,278.0,273.0,02/2041,35620,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,0.0,
533192,107615321516.0,06/01/2017,,4.5,152269.75,40.0,200.0,200.0,02/2034,35300,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,0.0,
209324,102997957845.0,12/01/2016,,4.375,219748.69,42.0,318.0,318.0,06/2043,19660,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,0.0,
513774,107320225562.0,12/01/2016,,4.25,209925.34,51.0,309.0,303.0,09/2042,36740,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,0.0,
310450,104465640688.0,12/01/2017,,3.875,140610.28,54.0,306.0,306.0,06/2043,34980,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,0.0,
561906,108003482790.0,12/01/2016,,4.375,166599.86,53.0,307.0,307.0,07/2042,00000,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,0.0,
497275,107102259922.0,06/01/2016,,4.051,212201.7,45.0,315.0,315.0,09/2042,25540,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,0.0,
139713,102011264715.0,06/01/2016,,3.99,193229.23,42.0,318.0,318.0,12/2042,40900,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,1.0,1.0,
791116,111155347785.0,06/01/2017,,3.99,199192.31,54.0,306.0,306.0,12/2042,38060,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,0.0,
33959,100523446090.0,03/01/2016,,4.25,76698.95,43.0,317.0,317.0,08/2042,00000,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,0.0,
110787,101613441675.0,03/01/2017,,3.0,243221.98,52.0,128.0,128.0,11/2027,41180,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,0.0,
222497,103186931110.0,06/01/2017,,4.0,252426.06,53.0,223.0,223.0,01/2036,35620,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,0.0,
755594,110673060566.0,03/01/2016,,4.75,117298.29,53.0,307.0,297.0,10/2041,16980,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,1.0,1.0,1.0,
979678,113842761890.0,06/01/2017,,4.125,260278.69,48.0,312.0,312.0,06/2043,33340,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,0.0,
303319,104364762127.0,03/01/2016,,3.5,70836.83,41.0,139.0,125.0,10/2027,19820,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,0.0,
874636,112308940582.0,03/01/2016,,4.25,72619.41,37.0,323.0,322.0,02/2043,38060,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,1.0,1.0,1.0,
526001,107506330651.0,09/01/2016,,3.875,318082.1,52.0,188.0,188.0,05/2032,36740,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,3.0,
344079,104934423838.0,09/01/2017,,3.75,240331.34,52.0,188.0,188.0,05/2033,31080,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,0.0,
247416,103549448200.0,06/01/2017,,3.875,68568.92,55.0,305.0,305.0,11/2042,12060,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,0.0,
525761,107502532951.0,06/01/2016,,4.25,166205.31,44.0,316.0,316.0,10/2042,32780,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,0.0,
979977,113848316641.0,12/01/2016,,4.375,148458.28,50.0,310.0,307.0,10/2042,47260,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,0.0,
239567,103422454891.0,09/01/2017,,3.75,138630.3,55.0,305.0,0.0,02/2043,19820,1.0,N,1.0,09/2017,,,,,,,,,,,,,,,N,,,1.0,1.0,1.0,1.0,1.0,
506200,107210825294.0,09/01/2016,,4.0,210294.81,48.0,312.0,311.0,09/2042,42660,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,1.0,
195369,102807878607.0,12/01/2016,,4.75,234289.19,36.0,324.0,324.0,12/2043,35620,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,2.0,2.0,2.0,2.0,
108250,101580464544.0,12/01/2016,,5.25,242601.3,84.0,276.0,276.0,12/2039,38060,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,0.0,
642764,109125560827.0,12/01/2017,,3.375,84739.55,64.0,296.0,250.0,08/2042,16980,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,0.0,
854915,112045842101.0,03/01/2017,,4.375,177270.2,56.0,304.0,304.0,07/2042,00000,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,0.0,
97768,101444153059.0,12/01/2017,,3.625,98329.73,40.0,140.0,113.0,08/2029,00000,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,0.0,
771795,110881954272.0,03/01/2017,,4.5,162672.22,53.0,307.0,289.0,10/2042,19820,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,0.0,
751626,110627691133.0,03/01/2016,,4.99,94999.57,42.0,318.0,310.0,09/2042,19820,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,0.0,
871857,112271644402.0,06/01/2016,,4.99,184933.8,67.0,293.0,292.0,11/2040,39300,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,0.0,
437395,106235056764.0,12/01/2017,,5.375,157065.3,94.0,146.0,146.0,02/2030,16980,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,0.0,
822197,111579379676.0,06/01/2017,,3.99,97575.96,48.0,312.0,305.0,06/2043,16980,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,0.0,
531134,107592549859.0,12/01/2016,,4.25,182804.5,88.0,92.0,90.0,08/2024,00000,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,0.0,
968599,113691373332.0,06/01/2017,,4.5,184920.31,63.0,297.0,293.0,03/2042,40140,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,0.0,
433713,106184629936.0,06/01/2016,,4.25,249492.3,52.0,308.0,308.0,02/2042,39820,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,0.0,
287721,104146908125.0,06/01/2017,,4.375,158853.0,49.0,311.0,309.0,05/2043,38060,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,0.0,
228957,103270291435.0,09/01/2016,,4.125,211668.12,12.0,348.0,347.0,09/2045,36100,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,1.0,
165,100003305358.0,09/01/2016,,4.0,309056.5,88.0,439.0,,04/2053,35620,0.0,Y,,,,,,,,,,,,,,,0.0,,,,N,0.0,0.0,0.0,0.0,0.0,
449533,106414198063.0,09/01/2016,,4.375,242566.48,70.0,290.0,290.0,11/2040,38900,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,0.0,
988402,113960897938.0,03/01/2016,,3.5,244554.06,37.0,323.0,318.0,02/2043,34940,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,0.0,
921344,112984257517.0,06/01/2017,,3.625,34725.88,49.0,191.0,52.0,05/2033,10540,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,0.0,
297530,104276594670.0,12/01/2016,,5.25,311238.28,75.0,285.0,267.0,09/2040,35620,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,0.0,
187898,102701932180.0,03/01/2016,,4.5,185578.7,34.0,326.0,325.0,05/2043,38060,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,0.0,
265726,103836382786.0,09/01/2016,,4.0,193638.9,82.0,476.0,,05/2056,42660,0.0,Y,,,,,,,,,,,,,,,0.0,,,,N,0.0,0.0,1.0,4.0,7.0,
920630,112974436414.0,09/01/2016,,4.25,127010.84,39.0,321.0,321.0,06/2043,37980,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,0.0,
25731,100405710713.0,03/01/2016,,4.5,79517.09,8.0,292.0,292.0,07/2040,26140,0.0,N,,,,,,,,,,,,,,,,,,,Y,0.0,0.0,0.0,0.0,0.0,
813752,111477779661.0,06/01/2016,,5.0,163822.77,21.0,339.0,339.0,09/2044,16980,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,0.0,
916508,112910253420.0,09/01/2016,,3.375,51323.16,51.0,129.0,124.0,06/2027,11100,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,0.0,
264208,103812931187.0,09/01/2016,,4.0,123680.24,45.0,315.0,315.0,12/2042,24660,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,0.0,
376725,105385505673.0,03/01/2016,,4.5,223399.36,47.0,313.0,0.0,04/2042,36740,1.0,N,1.0,03/2016,,,,,,,,,,,,,,,N,,,1.0,1.0,1.0,1.0,1.0,
534534,107634690740.0,09/01/2017,,4.25,304128.28,61.0,299.0,298.0,08/2042,40140,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,0.0,
830983,111712624641.0,06/01/2016,,4.5,371845.44,70.0,290.0,289.0,08/2040,33100,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,0.0,
415928,105939921200.0,03/01/2017,,3.625,134922.19,47.0,193.0,193.0,04/2033,36740,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,0.0,
102993,101509813238.0,12/01/2016,,4.375,276075.47,71.0,289.0,244.0,01/2041,40900,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,0.0,
611326,108717525793.0,06/01/2016,,4.875,265623.8,78.0,282.0,281.0,12/2039,35620,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,1.0,1.0,
412048,105893271891.0,03/01/2016,,4.625,380999.94,57.0,457.0,,04/2054,14860,0.0,Y,,,,,,,,,,,,,,,0.0,,,,N,0.0,0.0,0.0,0.0,0.0,
533342,107616596551.0,06/01/2016,,4.25,79000.62,34.0,206.0,204.0,08/2033,19820,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,1.0,1.0,
895854,112613902199.0,06/01/2016,,4.5,180247.72,66.0,294.0,293.0,12/2040,42660,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,3.0,6.0,
928358,113087975345.0,03/01/2016,,4.125,162080.78,41.0,319.0,318.0,10/2042,40060,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,1.0,1.0,1.0,
751456,110625945630.0,06/01/2016,,4.75,99181.44,66.0,294.0,291.0,12/2040,36780,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,0.0,
611193,108717332684.0,06/01/2017,,4.75,124137.6,46.0,314.0,313.0,08/2043,00000,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,0.0,
108068,101579208659.0,12/01/2016,,3.875,197176.58,56.0,184.0,181.0,04/2032,45300,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,0.0,
420176,106009785106.0,06/01/2016,,5.375,152741.0,62.0,298.0,298.0,04/2041,27500,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,0.0,
443501,106326255624.0,12/01/2016,,5.625,204993.97,68.0,292.0,0.0,04/2041,39300,1.0,N,1.0,12/2016,,,,,,,,,,,,,,,N,,,1.0,1.0,1.0,1.0,1.0,
81914,101210576681.0,12/01/2016,,5.0,66665.02,44.0,256.0,252.0,04/2038,29820,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,0.0,
731220,110368720432.0,06/01/2016,,4.0,55362.24,38.0,322.0,322.0,04/2043,00000,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,1.0,1.0,
792681,111178450952.0,12/01/2016,,4.75,274277.62,82.0,278.0,277.0,02/2040,21660,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,0.0,
485461,106918875083.0,06/01/2017,,3.99,150630.81,50.0,310.0,309.0,04/2043,00000,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,0.0,
467763,106663259885.0,03/01/2017,,4.875,143418.36,39.0,321.0,319.0,12/2043,16740,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,0.0,
437823,106239426025.0,12/01/2016,,4.0,247927.98,43.0,257.0,256.0,05/2038,13140,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,0.0,
405529,105802466581.0,06/01/2017,,4.375,64484.2,56.0,244.0,244.0,10/2037,23060,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,0.0,
396140,105670453229.0,09/01/2016,,4.125,75149.81,43.0,317.0,316.0,02/2043,12060,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,1.0,
867949,112221543631.0,06/01/2017,,3.75,247693.03,47.0,313.0,313.0,07/2043,36260,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,0.0,
145468,102085791238.0,12/01/2016,,4.25,38706.58,53.0,187.0,146.0,07/2032,29620,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,0.0,
590692,108432120052.0,06/01/2016,,3.875,193685.7,47.0,313.0,312.0,07/2042,39340,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,0.0,
31885,100489328900.0,03/01/2016,,5.5,113865.61,58.0,302.0,296.0,05/2041,49420,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,1.0,1.0,1.0,
658134,109338746929.0,03/01/2017,,4.25,100413.31,53.0,307.0,307.0,10/2042,31080,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,0.0,
213117,103037969336.0,03/01/2016,,3.75,125604.86,32.0,328.0,328.0,07/2043,37340,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,0.0,
812568,111459347128.0,03/01/2017,,4.25,143752.03,52.0,308.0,308.0,11/2042,40900,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,0.0,
8804,100143959156.0,09/01/2017,,4.875,114460.39,75.0,225.0,197.0,06/2036,16740,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,0.0,
311911,104480385721.0,09/01/2016,,4.75,153599.92,28.0,212.0,212.0,05/2034,24340,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,0.0,
310169,104461025669.0,12/01/2017,,4.5,237666.05,63.0,297.0,294.0,09/2042,42660,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,0.0,
8707,100142465582.0,03/01/2017,,3.75,281960.3,49.0,251.0,250.0,02/2038,14860,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,0.0,
689624,109776871881.0,03/01/2016,,4.25,140399.66,33.0,327.0,327.0,06/2043,39580,0.0,N,,,,,,,,,,,,,,,,,,,Y,0.0,0.0,0.0,0.0,0.0,
55432,100819956133.0,12/01/2016,,3.75,189870.84,39.0,321.0,321.0,09/2043,00000,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,0.0,
766102,110809604710.0,12/01/2017,,4.625,68494.24,63.0,297.0,297.0,09/2042,39900,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,0.0,
912449,112859010782.0,12/01/2016,,3.5,106116.02,41.0,139.0,139.0,07/2028,45300,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,0.0,
637389,109053506055.0,09/01/2017,,4.5,81520.91,99.0,261.0,167.0,06/2039,19100,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,0.0,
591530,108443005786.0,06/01/2017,,4.25,165369.78,46.0,314.0,307.0,08/2043,41700,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,0.0,
